userId,itemId,actual_rating,ffnn_predicted_rating
9,80225,0.0,2.2
9,78657,0.0,2.3
9,77673,0.0,3.2
9,74454,0.0,2.2
9,76677,0.0,2.8
9,71350,0.0,3.1
9,78979,0.0,2.9
9,81198,0.0,2.7
9,71537,0.0,2.6
9,83433,0.0,3.3
9,84451,0.0,2.9
9,75952,0.0,2.9
9,78511,0.0,2.6
9,75470,0.0,3.1
9,69704,0.0,2.6
9,81423,0.0,3.2
9,85240,0.0,2.7
9,77527,1.0,2.7
9,82355,0.0,1.6
9,77233,0.0,2.8
9,69892,0.0,2.5
9,84512,0.0,2.7
9,76156,0.0,3.3
9,74231,0.0,2.7
9,71925,0.0,3.2
9,73225,0.0,3.3
9,81269,0.0,3.1
9,69605,0.0,3.2
9,75674,0.0,3.4
9,77293,0.0,2.8
9,69893,0.0,2.5
9,85751,0.0,2.4
9,76801,0.0,2.6
9,75085,0.0,3.4
9,83555,0.0,3.3
9,77571,0.0,2.8
9,71671,0.0,2.4
9,69751,0.0,2.4
9,76300,0.0,2.7
9,80386,0.0,2.2
9,75462,0.0,2.8
9,83183,0.0,2.4
9,82976,0.0,3.2
9,73020,0.0,2.7
9,85280,0.0,2.2
9,79225,0.0,3.5
9,76007,0.0,3.1
9,85184,0.0,2.7
9,78167,0.0,2.3
9,76263,0.0,2.8
9,70168,0.0,2.5
9,71234,0.0,2.2
9,74817,0.0,2.2
9,75803,0.0,2.8
9,70120,0.0,2.6
9,71959,0.0,2.1
9,71786,0.0,2.6
9,71944,0.0,3.3
9,85628,0.0,2.3
9,71004,0.0,2.9
9,83908,0.0,3.3
9,72181,0.0,2.8
9,75058,0.0,2.6
9,80363,0.0,2.7
9,83295,0.0,2.7
9,80397,0.0,2.6
9,81031,0.0,2.8
9,85294,0.0,2.8
9,69856,0.0,2.6
9,77117,0.0,2.9
9,80374,0.0,3.0
9,72390,0.0,2.6
9,84144,0.0,2.7
9,75464,0.0,2.9
9,80895,0.0,2.9
9,83921,0.0,2.4
9,82046,0.0,3.2
9,85468,0.0,2.3
9,81090,0.0,2.6
9,69725,0.0,2.7
9,74472,0.0,2.8
9,84595,0.0,2.9
9,83622,0.0,2.9
9,74668,0.0,3.1
9,73831,0.0,2.9
9,71322,0.0,2.4
9,77870,0.0,2.9
9,69906,0.0,2.5
9,79457,0.0,2.7
9,74725,0.0,2.7
